2019-06-14 16:31:06,b'RT @glorioustoshi1: Are you ready to join &amp; win the upcoming world cup contest? Yes!! Like &amp; Comment below for being a part of Contest foll\xe2\x80\xa6'
2019-06-14 16:30:32,b'RT @glorioustoshi1: \xf0\x9f\x8f\x8f\xf0\x9f\x8f\x86\xf0\x9f\x8e\x8aWorld Cup Contest\xf0\x9f\x8f\x8f\xf0\x9f\x8f\x86\xf0\x9f\x8e\x8a\nGet a chance to win 10000 mAh Glorious Power Bank and more exciting gifts. \nVisit https://t.co/\xe2\x80\xa6'
2019-06-14 16:30:04,b'Noticed one thing\nMatches of England  are not getting spoiled by RAIN \xf0\x9f\x98\x82\n#ENGvWI\n#ICCWC2019 \n#ICC'
2019-06-14 16:28:38,"b'RT @idap_io: Just like batsmen need to practice in the nets before playing the match, you need to practice before playing in the markets!\xe2\x80\xa6'"
2019-06-14 16:28:36,b'I am watching rain on Star Sports peacefully but #ENGvWI interrupted me today  #ICC'
2019-06-14 16:28:31,b'@iReliefServices ODI #20\nAUS vs SL\nWinner will be : AUS \xf0\x9f\x87\xa6\xf0\x9f\x87\xba\n\n#PredictCWC19Winner\n#ICC #CricketWorldCup\xe2\x80\xa6 https://t.co/cYqKJ3Z3Sa'
2019-06-14 16:28:03,b'RT @CrickPoint: For all Indian cricket fans out there @icc @cricketworldcup \n#ICC #CWC19\n\nWho will score the most for #TeamIndia?\n@imVkohli\xe2\x80\xa6'
2019-06-14 16:27:08,"b""I haven't followed cricket as regularly as I used to. Except when it comes to #CricketWorldCup. It's heartening to\xe2\x80\xa6 https://t.co/jEfN9aKofP"""
2019-06-14 16:27:03,b'Yes everyone loves &amp; support this best bowler of Indian cricket team\n\n#WeWantSreesanthBackInCricket \n\nHe deserves a\xe2\x80\xa6 https://t.co/c0PlXF7Hdl'
2019-06-14 16:26:36,b'RT @pragyanojha: We want the games to be played!  #ICC #CWC19 \xf0\x9f\x98\x87 https://t.co/ZvNFfx6Y2t'
2019-06-14 16:26:31,b'RT @CrickPoint: For all Indian cricket fans out there @icc @cricketworldcup \n#ICC #CWC19\n\nFans who witnessed India winning World Cup!!\n\nNot\xe2\x80\xa6'
2019-06-14 16:26:18,b'16th june ko agar barish hui to football match hi khelwa lo #INDvsPAK se... Lekin match honi chahea #ICC walo.\xe2\x80\xa6 https://t.co/1sWa6TqK4T'
2019-06-14 16:26:10,"b'RT @kevinjonheller: The #ICC judicial meltdown continues: Judge Brichambaut is really, really mad that the ad hoc Presidency is letting the\xe2\x80\xa6'"
2019-06-14 16:25:39,"b""@Cric_beat we can't change whether condition....! But #icc shadule is very poor..."""
2019-06-14 16:24:05,"b'@iReliefServices ODI #19\nENG vs WI,\nWinner will be: ENG\n\n#PredictCWC19Winner\n#ICC #CricketWorldCup\n#iReliefContest\n@iReliefServices'"
2019-06-14 16:23:54,b'RT @iReliefServices: #ContestAlert #PredictCWC19Winner\n\nThe fantastic #ICC #CricketWorldCup is back &amp; #iRelief is here to amplify your \xe2\x9d\xa4\xef\xb8\x8f f\xe2\x80\xa6'
2019-06-14 16:23:53,b'RT @raj20k: Shame on #ICC for organizing such an important tournament at such a time when half the matches are getting washed away! Get a l\xe2\x80\xa6'
2019-06-14 16:23:50,b'RT @pragyanojha: We want the games to be played!  #ICC #CWC19 \xf0\x9f\x98\x87 https://t.co/ZvNFfx6Y2t'
2019-06-14 16:22:55,b'RT @Actor_Siddharth: The worst Cricket World Cup in history -\n\n1. #CWC19\n2. #CWC19\n3. #CWC19\n4. All of the above.\n\nWell played #ICC! \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
2019-06-14 16:22:47,b'RT @pragyanojha: We want the games to be played!  #ICC #CWC19 \xf0\x9f\x98\x87 https://t.co/ZvNFfx6Y2t'
2019-06-14 16:21:34,b'RT @RanaAhsanKamal1: When we talk during lecture ...\nTeacher be like..\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82 #AUSvPAK #PAKvsAUS #reaction #icc https://t.co/URLipnUbm4'
2019-06-14 16:20:52,b'RT @raj20k: Shame on #ICC for organizing such an important tournament at such a time when half the matches are getting washed away! Get a l\xe2\x80\xa6'
2019-06-14 16:20:38,b'RT @vijayjdarda: Unfortunate that 4 matches in #WorldCup2019 have been washed out in a row &amp; mostly Asian countries have been affected. Str\xe2\x80\xa6'
2019-06-14 16:20:35,"b""RT @AjayGan18092269: #ShameOnICC\nPic 1: ICC on Dhoni's Gloves.\nPic2 : ICC on WC planning.\n#ShameOnICC \n#ICC \n#ICCWorldCup2019 https://t.co/\xe2\x80\xa6"""
2019-06-14 16:19:06,b'RT @cricfive: ICC Cricket World Cup 2019\nMatch 19\n\nWI :212/10 ( 44.4 Overs )\nENG :213/2 ( 33.1 Overs )\n\nEngland won by 8 wickets (with 101\xe2\x80\xa6'
2019-06-14 16:18:46,b'@OptakTv B) Saurav Ganguly \n#OPTAKLEDTV #INDIAMAANGEWOR #rahuldravid #sachinTendulkar #sauravganguly #teamindia\xe2\x80\xa6 https://t.co/9OdQqbPCUz'
2019-06-14 16:18:30,b'ICC Cricket World Cup 2019\nMatch 19\n\nWI :212/10 ( 44.4 Overs )\nENG :213/2 ( 33.1 Overs )\n\nEngland won by 8 wickets\xe2\x80\xa6 https://t.co/rHXTmmHWXh'
2019-06-14 16:18:23,b'@ICC Better change ur Twitter handle to #englandsupporters from #ICC'
2019-06-14 16:17:50,b'RT @raj20k: Shame on #ICC for organizing such an important tournament at such a time when half the matches are getting washed away! Get a l\xe2\x80\xa6'
2019-06-14 16:17:48,b'RT @FirstpostSports: It is unimaginable that the #ICC planned #CWC19 without providing for rain and such interruptions which are pretty nor\xe2\x80\xa6'
2019-06-14 16:17:48,b'#ICC boring #CWC19'
2019-06-14 16:17:23,"b'RT @kevinjonheller: The #ICC judicial meltdown continues: Judge Brichambaut is really, really mad that the ad hoc Presidency is letting the\xe2\x80\xa6'"
2019-06-14 16:17:18,b'#ICC #Cricket World Cup 2019\n#ENGvWI\n#England won by 8 wickets.\n#WI 212/All out (44.4 over)\n#ENG 213/2 (33.1 ovr)\nRoot 100*\n\n#Cwc19\n#wiveng'
2019-06-14 16:16:23,b'RT @FirstpostSports: It is unimaginable that the #ICC planned #CWC19 without providing for rain and such interruptions which are pretty nor\xe2\x80\xa6'
2019-06-14 16:16:21,b'RT @SF_Hindi: Joe Root \nButtler \nRohit Sharma \nJoe Root \nShakib Al Hasan \nShikhar Dhawan \nDavid Warner \nJason Roy \n\n8 Centuries in this WC\xe2\x80\xa6'
2019-06-14 16:16:07,b'RT @FirstpostSports: It is unimaginable that the #ICC planned #CWC19 without providing for rain and such interruptions which are pretty nor\xe2\x80\xa6'
2019-06-14 16:16:02,"b'RT @idap_io: Just like batsmen need to practice in the nets before playing the match, you need to practice before playing in the markets!\xe2\x80\xa6'"
2019-06-14 16:15:52,b'@waiwaiindia Australia \n#waiwai #WaiwaiNoodles #Noodles #Snacks #Soups #Bhaiwai #Slvaus #Thugpug #CWWC #CWC2019\xe2\x80\xa6 https://t.co/IJoDufU75I'
2019-06-14 16:15:39,b'RT @raj20k: Shame on #ICC for organizing such an important tournament at such a time when half the matches are getting washed away! Get a l\xe2\x80\xa6'
2019-06-14 16:15:18,b'@Woodsymoments @cta84 Under normal circumstances England would have the say on what kind of wickets to suit themsel\xe2\x80\xa6 https://t.co/NEwB0cGE3Y'
2019-06-14 16:15:03,"b'The hosts are coasting, leaving the other teams drenched in rain with a point\xf0\x9f\x98\x85\xf0\x9f\x91\x8f\n#ICCWorldCup2019 #ENGvWI #ICCCricketWorldCup2019 #icc'"
2019-06-14 16:14:43,"b'RT @ECA_OFFICIAL: \xe2\x80\x9cImportant discussion with Judge Eboe-Osuji, President of #ICC on the economic cost of conflict recovery and more concert\xe2\x80\xa6'"
2019-06-14 16:14:09,b'Watch the double standard of #ICC\nNo rain in between england matches.  #ENGvWI'
2019-06-14 16:12:59,b'RT @saaheb21: still a better management than #ICC\n\n#CWC19 #rainyworldcup https://t.co/Fpq5SPDc34'
2019-06-14 16:12:48,b'RT @Ammar_Buttt: Rest Of The World Cup Will be Completed Through Highlights !! #CWC19 #ICC #ICCWorldCup2019'
2019-06-14 16:11:48,"b'The #ICC judicial meltdown continues: Judge Brichambaut is really, really mad that the ad hoc Presidency is letting\xe2\x80\xa6 https://t.co/Ssc8Yt3uad'"
2019-06-14 16:11:26,"b'ICC Cricket World Cup 2019\nMatch 19\n\nCONGRATULATIONS, Joe Root \xf0\x9f\x92\xaa\xf0\x9f\x92\xa5\xf0\x9f\x8f\x8f\xf0\x9f\x8f\x8f\n#WIvENG\nENG:204/2 * (32.6/50 ov, target 213)\xe2\x80\xa6 https://t.co/rWE4msOEf2'"
2019-06-14 16:11:26,b'RT @SF_Hindi: Joe Root \nButtler \nRohit Sharma \nJoe Root \nShakib Al Hasan \nShikhar Dhawan \nDavid Warner \nJason Roy \n\n8 Centuries in this WC\xe2\x80\xa6'
2019-06-14 16:11:13,b'Joe Root \nButtler \nRohit Sharma \nJoe Root \nShakib Al Hasan \nShikhar Dhawan \nDavid Warner \nJason Roy \n\n8 Centuries i\xe2\x80\xa6 https://t.co/6sOhw0HBYt'
2019-06-14 16:09:36,b'#ENGvWI\n\nUnbelievable cricket from #England \nChris #Woakes to one down ..truly great team performance show...\n\nIndi\xe2\x80\xa6 https://t.co/ub1idXiHfW'
2019-06-14 16:09:21,"b""RT @AkashBawanthad2: It's 3rd class organization for world's biggest cup , sad to see helplessness of icc on this cruisal matter, #icc must\xe2\x80\xa6"""
2019-06-14 16:08:54,b'RT @FirstpostSports: It is unimaginable that the #ICC planned #CWC19 without providing for rain and such interruptions which are pretty nor\xe2\x80\xa6'
2019-06-14 16:08:41,b'RT @pragyanojha: We want the games to be played!  #ICC #CWC19 \xf0\x9f\x98\x87 https://t.co/ZvNFfx6Y2t'
2019-06-14 16:07:52,b'@root66  is on another level of ODI cricket \xf0\x9f\x8f\x8f @englandcricket @ICC @cricketworldcup #ICCCricketWorldCup2019 #ICC https://t.co/B1tZ40WnTW'
2019-06-14 16:07:27,"b'RT @ECA_OFFICIAL: \xe2\x80\x9cImportant discussion with Judge Eboe-Osuji, President of #ICC on the economic cost of conflict recovery and more concert\xe2\x80\xa6'"
2019-06-14 16:06:46,b'I can hear it \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\n#ENGvWI #AmericasGotTalent #INDvPAK #ICCWorldCup2019 #icc #WorldCup2019 https://t.co/nsBYMt2ax2'
2019-06-14 16:06:38,b'@pragyanojha This picture clearly described that #BCCI is much more richer than #ICC'
