Country,Subject Descriptor,Units,Scale,2015,Estimates Start After
Netherlands,Gross domestic product per capita current prices,U.S. dollars,Units,43603.12,2014
New Zealand,Gross domestic product per capita current prices,U.S. dollars,Units,37044.89,2015
Nicaragua,Gross domestic product per capita current prices,U.S. dollars,Units,1949.23,2013
Niger,Gross domestic product per capita current prices,U.S. dollars,Units,405.21,2009
Nigeria,Gross domestic product per capita current prices,U.S. dollars,Units,2742.86,2012
Norway,Gross domestic product per capita current prices,U.S. dollars,Units,74822.11,2015
Oman,Gross domestic product per capita current prices,U.S. dollars,Units,15232.96,2012
Pakistan,Gross domestic product per capita current prices,U.S. dollars,Units,1449.98,2015
Palau,Gross domestic product per capita current prices,U.S. dollars,Units,16070.42,2014
Panama,Gross domestic product per capita current prices,U.S. dollars,Units,13012.56,2013
Papua New Guinea,Gross domestic product per capita current prices,U.S. dollars,Units,2084.71,2012
Paraguay,Gross domestic product per capita current prices,U.S. dollars,Units,4009.57,2014
Peru,Gross domestic product per capita current prices,U.S. dollars,Units,6021.1,2015
Philippines,Gross domestic product per capita current prices,U.S. dollars,Units,2858.14,2015
Poland,Gross domestic product per capita current prices,U.S. dollars,Units,12495.33,2014
Portugal,Gross domestic product per capita current prices,U.S. dollars,Units,19121.59,2014
Qatar,Gross domestic product per capita current prices,U.S. dollars,Units,76576.08,2014
Romania,Gross domestic product per capita current prices,U.S. dollars,Units,8906.3,2015
Russia,Gross domestic product per capita current prices,U.S. dollars,Units,9054.91,2015
Rwanda,Gross domestic product per capita current prices,U.S. dollars,Units,731.51,2012
Samoa,Gross domestic product per capita current prices,U.S. dollars,Units,4334.22,2011
San Marino,Gross domestic product per capita current prices,U.S. dollars,Units,49846.9,2014
São Tomé and Príncipe,Gross domestic product per capita current prices,U.S. dollars,Units,1568.97,2011
Saudi Arabia,Gross domestic product per capita current prices,U.S. dollars,Units,20812.59,2010
Senegal,Gross domestic product per capita current prices,U.S. dollars,Units,913.02,2011
Serbia,Gross domestic product per capita current prices,U.S. dollars,Units,5119.76,2014
Seychelles,Gross domestic product per capita current prices,U.S. dollars,Units,14940.71,2013
Sierra Leone,Gross domestic product per capita current prices,U.S. dollars,Units,659.44,2014
Singapore,Gross domestic product per capita current prices,U.S. dollars,Units,52887.77,2014
Slovak Republic,Gross domestic product per capita current prices,U.S. dollars,Units,15991.74,2015
Slovenia,Gross domestic product per capita current prices,U.S. dollars,Units,20732.48,2015
Solomon Islands,Gross domestic product per capita current prices,U.S. dollars,Units,1952.48,2014
South Africa,Gross domestic product per capita current prices,U.S. dollars,Units,5694.57,2014
South Sudan,Gross domestic product per capita current prices,U.S. dollars,Units,220.86,2008
Spain,Gross domestic product per capita current prices,U.S. dollars,Units,25864.72,2014
Sri Lanka,Gross domestic product per capita current prices,U.S. dollars,Units,3889.41,2012
St. Kitts and Nevis,Gross domestic product per capita current prices,U.S. dollars,Units,16109.71,2003
St. Lucia,Gross domestic product per capita current prices,U.S. dollars,Units,8191.98,2012
St. Vincent and the Grenadines,Gross domestic product per capita current prices,U.S. dollars,Units,6882.29,2014
Sudan,Gross domestic product per capita current prices,U.S. dollars,Units,2175.4,2010
Suriname,Gross domestic product per capita current prices,U.S. dollars,Units,9305.69,2011
Swaziland,Gross domestic product per capita current prices,U.S. dollars,Units,3139.66,2014
Sweden,Gross domestic product per capita current prices,U.S. dollars,Units,49866.27,2014
Switzerland,Gross domestic product per capita current prices,U.S. dollars,Units,80675.31,2015
Syria,Gross domestic product per capita current prices,U.S. dollars,Units,,2010
Taiwan Province of China,Gross domestic product per capita current prices,U.S. dollars,Units,22287.56,2015
Tajikistan,Gross domestic product per capita current prices,U.S. dollars,Units,922.07,2014
Tanzania,Gross domestic product per capita current prices,U.S. dollars,Units,941.8,2012
Thailand,Gross domestic product per capita current prices,U.S. dollars,Units,5742.28,2014
Timor-Leste,Gross domestic product per capita current prices,U.S. dollars,Units,2244.31,2011
Togo,Gross domestic product per capita current prices,U.S. dollars,Units,569.44,2010
Tonga,Gross domestic product per capita current prices,U.S. dollars,Units,3972.74,2012
Trinidad and Tobago,Gross domestic product per capita current prices,U.S. dollars,Units,18085.76,2012
Tunisia,Gross domestic product per capita current prices,U.S. dollars,Units,3922.65,2010
Turkey,Gross domestic product per capita current prices,U.S. dollars,Units,9437.37,2013
Turkmenistan,Gross domestic product per capita current prices,U.S. dollars,Units,6622.41,2004
Tuvalu,Gross domestic product per capita current prices,U.S. dollars,Units,3014.63,2012
Uganda,Gross domestic product per capita current prices,U.S. dollars,Units,620.21,2014
Ukraine,Gross domestic product per capita current prices,U.S. dollars,Units,2125.43,2015
United Arab Emirates,Gross domestic product per capita current prices,U.S. dollars,Units,36060.02,2010
United Kingdom,Gross domestic product per capita current prices,U.S. dollars,Units,43770.69,2015
United States,Gross domestic product per capita current prices,U.S. dollars,Units,55805.2,2015
Uruguay,Gross domestic product per capita current prices,U.S. dollars,Units,15748.19,2014
Uzbekistan,Gross domestic product per capita current prices,U.S. dollars,Units,2120.78,2013
Vanuatu,Gross domestic product per capita current prices,U.S. dollars,Units,2847.11,2014
Venezuela,Gross domestic product per capita current prices,U.S. dollars,Units,7744.75,2010
Vietnam,Gross domestic product per capita current prices,U.S. dollars,Units,2088.34,2012
Yemen,Gross domestic product per capita current prices,U.S. dollars,Units,1302.94,2008
Zambia,Gross domestic product per capita current prices,U.S. dollars,Units,1350.15,2010
Zimbabwe,Gross domestic product per capita current prices,U.S. dollars,Units,1064.35,2012
